2024-11-20 18:41:58.554 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Previously run:               0
2024-11-20 18:41:58.554 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Filtered out:                 0
2024-11-20 18:41:58.555 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - -------------------------------
2024-11-20 18:41:58.555 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Total change sets:            3
2024-11-20 18:41:58.557 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Update summary generated
2024-11-20 18:41:58.560 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Update command completed successfully.
2024-11-20 18:41:58.561 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Liquibase: Update has been successful. Rows affected: 1000003
2024-11-20 18:41:58.566 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Successfully released change log lock
2024-11-20 18:41:58.568 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JavaLogger - Command execution complete
2024-11-20 18:41:58.847 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-20 18:41:58.932 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-11-20 18:41:58.983 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-11-20 18:41:59.481 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-20 18:42:00.769 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-11-20 18:42:00.775 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  AbstractEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-20 18:42:01.560 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] WARN  JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-11-20 18:42:02.536 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-11-20 18:42:02.549 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2024-11-20 18:42:02.619 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  DirectJDKLog - Starting ProtocolHandler ["http-nio-8082"]
2024-11-20 18:42:02.631 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  TomcatWebServer - Tomcat started on port 8082 (http) with context path '/'
2024-11-20 18:42:02.648 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [restartedMain] INFO  StartupInfoLogger - Started MovieRatingApplication in 374.768 seconds (process running for 377.728)
2024-11-20 18:42:12.606 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [SpringApplicationShutdownHook] INFO  AbstractEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-11-20 18:42:12.613 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [SpringApplicationShutdownHook] INFO  HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-11-20 18:42:12.641 [ spring-movie-info-service-0, , ,   ] [Request-Trace-Id: ] [SpringApplicationShutdownHook] INFO  HikariDataSource - HikariPool-1 - Shutdown completed.
